entity,id,active,dateCreated,lastCheck,lastChecked,routes,rt,vid
bus,status_9724,TRUE,2020-04-03T19:16:30.568Z,2020-04-03T19:16:28.509Z,2020-04-03T19:16:30.568Z,"[  { ""S"" : ""495"" }]",495,9724
bus,status_9725,TRUE,2020-04-03T19:24:22.256Z,2020-04-03T19:24:20.518Z,2020-04-03T19:24:22.256Z,"[  { ""S"" : ""632"" }]",632,9725
bus,status_9728,TRUE,2020-04-03T19:16:30.568Z,2020-04-03T19:16:28.509Z,2020-04-03T19:16:30.568Z,"[  { ""S"" : ""495"" }]",495,9728
bus,status_9736,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.459Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""553"" }]",553,9736
bus,status_9741,TRUE,2020-04-03T19:16:30.568Z,2020-04-03T19:16:28.509Z,2020-04-03T19:16:30.568Z,"[  { ""S"" : ""495"" }]",495,9741
bus,status_9742,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.040Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""308"" }]",308,9742
bus,status_9744,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.899Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""652"" }]",652,9744
bus,status_9745,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.579Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""402"" }]",402,9745
bus,status_9746,TRUE,2020-04-03T18:47:07.416Z,2020-04-03T18:47:04.335Z,2020-04-03T18:47:07.416Z,"[  { ""S"" : ""335"" }]",335,9746
bus,status_9748,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.720Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""162"" }]",162,9748
bus,status_9762,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.762Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""552"" }]",552,9762
bus,status_9764,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.521Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""557"" }]",557,9764
bus,status_9768,TRUE,2020-04-03T19:24:22.256Z,2020-04-03T19:24:20.978Z,2020-04-03T19:24:22.256Z,"[  { ""S"" : ""724"" }]",724,9768
bus,status_9769,TRUE,2020-04-03T19:47:00.812Z,2020-04-03T19:47:00.071Z,2020-04-03T19:47:00.812Z,"[  { ""S"" : ""926"" }]",926,9769
bus,status_9770,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.280Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""462"" }]",462,9770
bus,status_9772,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.280Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""462"" }]",462,9772
bus,status_9773,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.162Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""432"" }]",432,9773
bus,status_9774,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.280Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""RIBS1"" }]",RIBS1,9774
bus,status_9777,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.620Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""556"" }]",556,9777
bus,status_9778,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:34.777Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""937"" }]",937,9778
bus,status_9779,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:35.518Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""RIBS3"" }]",RIBS3,9779
bus,status_9780,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.477Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""RIBS5"" }]",RIBS5,9780
bus,status_9781,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:35.518Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""RIBS3"" }]",RIBS3,9781
bus,status_9782,TRUE,2020-04-03T16:47:08.066Z,2020-04-03T16:47:04.406Z,2020-04-03T16:47:08.066Z,"[  { ""S"" : ""RIBS4"" }]",RIBS4,9782
bus,status_9783,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.280Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""RIBS1"" }]",RIBS1,9783
bus,status_9784,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:35.518Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""RIBS3"" }]",RIBS3,9784
bus,status_9785,TRUE,2020-04-03T19:47:00.812Z,2020-04-03T19:47:00.191Z,2020-04-03T19:47:00.812Z,"[  { ""S"" : ""929"" }]",929,9785
bus,status_9792,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.280Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""RIBS1"" }]",RIBS1,9792
bus,status_9795,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:34.777Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""937"" }]",937,9795
